,Likes,Comments,Caption,Hashtags
32,1138,13,"I lost my Scoobs 🐕 almost 20 years ago and I still think about him. 😞 He was scooped up a little distance away and the culprit ran away, got in a car 🚗 .... that was it. Keep your pets close to you. 🐶🐱Have a Pet ID tag attached, micro chip or a pet tracker...",
33,616,5,"Limited Time offer! We are giving these Pet Trackers away, just cover Shipping. Always keep your pets safe by your side!🐶🐱Check out our store llapets.com and search for ""tracker"".",
34,11,0,#dogs #cats #gps #petrek #pettracker #pets #petcare #dogcare #catcare,"dogs,petrek,cats,pettracker,petcare,pets,gps,dogcare,catcare"
35,68,2,"Pet tracker for 🐶dogs🐶 on the move😊! Follow @petwearables and #tagfriends or signup thru Bio link to be notified of upcoming #pettracker ⭐Monthly ⭐ #giveaways
#ilovemydog #doglover #dogoftheday #doglife #petwearables #pettech","pettech,pettracker,dogoftheday,tagfriends,giveaways,doglover,doglife,petwearables,ilovemydog"
36,34,3,Keeping it original this Friday - check out our Paby 3G GPS Pet Tracker & Activity Monitor's Midnight Black pattern! Tell us what you think below or send us a message! #Paby #pettracker #tracker #GPS,"dogs,dogoftheday,puppy,puppyoftheday,paby,gps,puppydog,doglife,dogstagram,dog,puppiesofinstagram,puppiesofig,puppyface,doglove,dogsofinstagram,pettracker,puppypalace,puppys,puppiesforall,puppylife,tracker,puppies,puppylove,puppygram"
37,31,1,"Last call 🚨

Win a #FindsterDuo #PetTracker by participating in our #contest at facebook.com/findster!

Go, go, go! 😉","findster,dogs,gpspettracker,findsterduo,dog,pupstagram,doglove,dogsofinstagram,cats,pettracker,pet,cat,pets,catsofinstagram,findsterworld,contest"
38,40,0,Rocking my kippy! 😎 #kippypet #instadogs #pettracker,"pettracker,instadogs,kippypet"
39,59,9,A teaser from out product photo shoot...what do you think of our new 3G GPS Pet Tracker & Activity monitor?! #3G #pettracker #tracker #tech #technology,"pettracker,tracker,tech,3g,technology"
40,38,0,"Isn’t she a cutie pie? You would not like to lose her, right! Like if you agree!
#puppylove #puppyoftheday #puppyface #puppie #dogcollar #pettech
Follow @petwearables for upcoming #giveaways for #pettracker and #tagyourfriends #showlove","puppyface,showlove,pettech,dogcollar,pettracker,puppyoftheday,tagyourfriends,giveaways,puppie,puppylove"
41,104,2,"No matter where you hide, with Tractive GPS I will find you 🌿🐱🌿
・⠀
・⠀
・⠀
・⠀
#catsagram #ilovemycat #petaccount #petaccounts #pawsome #pawsandpaws #fluffycat #ragdollsofinstagram #catlove #catlover #catlove #catsofinsta #catsoninstagram #catsofinstagram #pettracker #catgram #lostcat #petgram #petstagram #cataddict #lovecats #famouscats #catlady #catslover #fluffball #purr #crazycatlady #caturdaycuties #caturday  #ragdoll","pawsome,lostcat,catlover,ragdoll,lovecats,famouscats,crazycatlady,caturdaycuties,catlove,catslover,catlady,pettracker,petgram,ragdollsofinstagram,ilovemycat,caturday,catgram,petaccount,fluffycat,catsofinstagram,cataddict,catsoninstagram,catsagram,petaccounts,catsofinsta,purr,fluffball,pawsandpaws,petstagram"
42,14,2,#KYON is the thinnest #GPS #pettracker #collar today that looks like a regular collar! #instadog #dogs #cat,"kyon,dogs,pettracker,instadog,cat,collar,gps"
43,37,1,"Do you think a dog GPS tracker is useful? I sure do. Like if you agree.
#ilovemydog #doglover #dogoftheday #doglife #petwearables #dogcollar #pettech
Follow @petwearables for forthcoming #petlovers #giveaways
 for  #pettracker and #tagyourfriends","pettech,dogcollar,pettracker,dogoftheday,tagyourfriends,giveaways,doglover,petlovers,doglife,petwearables,ilovemydog"
44,46,2,FOLLOW-US 🔫 #TheSpyGuy #Selling Hundreds of #AWESOME #ManCave #Gadgets & #Gizmos #Fashion #BirthdayGifts #PartyGadgets #Knives #Hunting #Fishing #Hiking #Security #Airsoft & #PaintBall #Gear #SpyGadgets #Fitness #SportsWear #Swords & #Katanas with the BEST #OnLineShop #bidorbuy #Bargains & #HotDeals on #PetGadgets #PetCamera #PetTracker #PetCams,"security,bargains,sportswear,petgadgets,gadgets,mancave,spygadgets,awesome,gizmos,airsoft,knives,onlineshop,fashion,petcamera,pettracker,hotdeals,selling,paintball,fitness,birthdaygifts,hiking,partygadgets,petcams,hunting,thespyguy,swords,bidorbuy,gear,katanas,fishing"
45,25,2,FOLLOW-US 🔫 #TheSpyGuy #Selling Hundreds of #AWESOME #ManCave #Gadgets & #Gizmos #Fashion #BirthdayGifts #PartyGadgets #Knives #Hunting #Fishing #Hiking #Security #Airsoft & #PaintBall #Gear #SpyGadgets #Fitness #SportsWear #Swords & #Katanas with the BEST #OnLineShop #bidorbuy #Bargains & #HotDeals on #PetGadgets #PetCamera #PetTracker #Pet,"security,bargains,sportswear,petgadgets,gadgets,mancave,spygadgets,awesome,gizmos,airsoft,knives,onlineshop,fashion,petcamera,pettracker,pet,hotdeals,selling,paintball,fitness,birthdaygifts,hiking,partygadgets,hunting,thespyguy,swords,bidorbuy,gear,katanas,fishing"
46,38,1,"Celebrate #MothersDay by winning a #FindsterDuo #PetTracker!

Visit facebook.com/findster to enter the #contest. Ends next Wednesday (May 17th)! 😀 🐾","findster,dogs,gpspettracker,findsterduo,dog,pupstagram,doglove,dogsofinstagram,cats,pettracker,pet,cat,pets,catsofinstagram,findsterworld,contest,mothersday"
47,75,1,"When you tell your dog you know where he was last night thanks to #FindsterDuo! 😂

Order now: link in our bio!","findster,doglove,dogs,dogsofinstagram,pettracker,pet,gpspettracker,pets,findsterduo,findsterworld,dog,pupstagram"
48,654,4,Never lose your pet! Attach a form of tracker to him/her.,"dogs,adoptdontshop,kittens,rescuedogs,mustlovecats,llapets,puppiesofinstagram,doglovers,rescuecats,mustlovedogs,kittensofinstagram,catlovers,dogsofinstagram,cats,pettracker,rescuekittens,catsofinstagram,rescuepets,rescuepuppies,puppies,lostpets"
49,18,1,"Don't miss a #Vet #appointment ever again! 
#KYON #mobile #app reminds you about important dates. #pet #dog #cat #pettracker #instadog","pettracker,mobile,pet,appointment,cat,app,kyon,vet,instadog,dog"
50,27,0,GPS Pet Tracker. #pets🐾 #pettracker #gps #dogs #cats #dogsandcats #tracker #interestingfinds,"dogs,dogsandcats,cats,pettracker,gps,pets🐾,interestingfinds,tracker"
